#     t     Est    Nord
   96.5   -5.32 -173.61
   97.0   -5.84 -173.70
   97.5   -6.48 -174.41
   98.0   -7.17 -175.08
   98.5   -8.30 -176.44
   99.0   -9.70 -177.80
   99.5  -11.19 -179.26
  100.0  -11.90 -180.14
  100.5  -13.02 -181.71
  101.0  -14.42 -182.12
  101.5  -16.59 -182.43
  102.0  -19.36 -182.07
  102.5  -21.88 -181.65
  103.0  -24.62 -181.96
  103.5  -26.91 -182.85
  104.0  -28.53 -183.80
  104.5  -29.50 -184.40
  105.0  -29.99 -185.51
  105.5  -30.68 -186.84
  106.0  -31.36 -187.92
  106.5  -32.64 -188.93
  107.0  -33.95 -189.72
  107.5  -34.53 -190.46
  108.0  -35.19 -191.74
  108.5  -35.65 -193.48
  109.0  -35.79 -194.22
  109.5  -36.37 -194.57
  110.0  -35.75 -194.61
  110.5  -35.21 -195.29
  111.0  -34.74 -195.50
  111.5  -35.16 -196.55
  112.0  -35.94 -198.41
  112.5  -36.19 -200.43
  113.0  -36.13 -203.32
  113.5  -35.98 -206.57
  114.0  -35.65 -209.60
  114.5  -34.52 -212.20
  115.0  -33.79 -214.91
  115.5  -33.45 -216.21
  116.0  -33.63 -216.53
  116.5  -34.11 -217.01
  117.0  -35.52 -218.27
  117.5  -37.62 -219.56
  118.0  -39.83 -220.87
  118.5  -42.14 -221.09
  119.0  -44.19 -221.33
  119.5  -46.77 -221.20
